Source,Target,Type,id,label,timeset,weight
standup_kc,fightfor15,Directed,26,,,2.0
People4Bernie,fightfor15,Directed,98,,,17.0
Show_Me15,ATLRaiseUp,Directed,275,,,1.0
FightFor15FL,fightfor15,Directed,353,,,14.0
FightFor15FL,FightFor15FL,Directed,358,,,18.0
fightfor15texas,FightFor15FL,Directed,462,,,5.0
People4Bernie,syashingo,Directed,479,,,1.0
aequitas1500,aequitas1500,Directed,515,,,2.0
aequitas1500,syashingo,Directed,570,,,6.0
squidartdotcom,fightfor15,Directed,786,,,1.0
Detroit_15,fightfor15,Directed,923,,,5.0
People4Bernie,Fightfor15LA,Directed,928,,,9.0
chifightfor15,jwjnational,Directed,1010,,,1.0
fightfor15,jwjnational,Directed,1038,,,2.0
fightfor15,ATLRaiseUp,Directed,1039,,,12.0
fightfor15texas,Show_Me15,Directed,1098,,,3.0
FF15ChildCare,Fightfor15LA,Directed,1120,,,2.0
Show_Me15,NorCalFF15,Directed,1398,,,1.0
fightfor15mass,Show_Me15,Directed,1418,,,2.0
fightfor15texas,fightfor15texas,Directed,1552,,,8.0
NorCalFF15,fightfor15texas,Directed,1560,,,1.0
Fightfor15LA,fightfor15texas,Directed,1562,,,3.0
Show_Me15,fightfor15texas,Directed,1581,,,3.0
FightFor15FL,fightfor15texas,Directed,1700,,,8.0
fightfor15,fightfor15texas,Directed,1780,,,7.0
fightfor15,FightFor15FL,Directed,1848,,,16.0
fightfor15texas,RaiseUpfor15,Directed,1947,,,2.0
FightFor15FL,RaiseUpfor15,Directed,1948,,,2.0
fightfor15texas,NorCalFF15,Directed,2038,,,1.0
fightfor15texas,fightfor15,Directed,2066,,,13.0
NorCalFF15,fightfor15,Directed,2246,,,16.0
Fightfor15LA,fightfor15,Directed,2248,,,18.0
Fightfor15LA,NorCalFF15,Directed,2431,,,2.0
fightfor15,Show_Me15,Directed,2484,,,39.0
RaiseUpMA,fightfor15,Directed,2547,,,5.0
FightFor15FL,Show_Me15,Directed,2697,,,3.0
Detroit_15,Show_Me15,Directed,2720,,,3.0
NorCalFF15,NorCalFF15,Directed,2776,,,1.0
FastFoodForward,NorCalFF15,Directed,2777,,,1.0
RaiseUpfor15,Show_Me15,Directed,2784,,,1.0
fightfor15mass,fightfor15,Directed,2794,,,11.0
FightFor15PA,chifightfor15,Directed,2796,,,2.0
GoodAirports,fightfor15,Directed,2803,,,8.0
FastFoodForward,fightfor15,Directed,2870,,,17.0
FightFor15FL,15andaUnion,Directed,2883,,,1.0
RaiseUpMA,FightFor15FL,Directed,2970,,,1.0
Show_Me15,FightFor15FL,Directed,2977,,,3.0
seiufl,Show_Me15,Directed,2981,,,3.0
fightfor15mass,15andaUnion,Directed,3055,,,1.0
chifightfor15,Show_Me15,Directed,3150,,,11.0
GoodAirports,Show_Me15,Directed,3239,,,5.0
fightfor15,Detroit_15,Directed,3246,,,16.0
chifightfor15,fightfor15,Directed,3269,,,10.0
NorCalFF15,Detroit_15,Directed,3275,,,1.0
Fightfor15LA,Detroit_15,Directed,3277,,,2.0
FastFoodForward,Detroit_15,Directed,3278,,,1.0
NorCalFF15,Show_Me15,Directed,3295,,,12.0
Fightfor15LA,Show_Me15,Directed,3297,,,13.0
FastFoodForward,Show_Me15,Directed,3298,,,13.0
Teamsters,FastFoodForward,Directed,3321,,,1.0
Teamsters,fightfor15,Directed,3363,,,7.0
seiufl,fightfor15,Directed,3397,,,3.0
Teamsters,GoodAirports,Directed,3420,,,1.0
SEIULocal1,GoodAirports,Directed,3482,,,4.0
OurPoliticalRev,fightfor15,Directed,3485,,,2.0
fightfor15,GoodAirports,Directed,3488,,,19.0
fightfor15,FastFoodForward,Directed,3495,,,6.0
32BJSEIU,GoodAirports,Directed,3530,,,2.0
FF15ChildCare,fightfor15,Directed,3729,,,4.0
FightFor15PA,fightfor15,Directed,3902,,,7.0
FightFor15FL,RoseAnnDeMoro,Directed,3980,,,1.0
fightfor15,NorCalFF15,Directed,4293,,,8.0
Show_Me15,fightfor15,Directed,4422,,,9.0
NorCalFF15,15andaUnion,Directed,4524,,,2.0
Fightfor15LA,15andaUnion,Directed,4526,,,2.0
FastFoodForward,15andaUnion,Directed,4527,,,2.0
fightfor15mass,chifightfor15,Directed,4642,,,3.0
fightfor15,chifightfor15,Directed,4644,,,17.0
fightfor15,15andaUnion,Directed,4645,,,1.0
squidartdotcom,Show_Me15,Directed,4649,,,1.0
squidartdotcom,standup_kc,Directed,4661,,,1.0
chifightfor15,NorCalFF15,Directed,4778,,,1.0
chifightfor15,FightFor15FL,Directed,4779,,,2.0
chifightfor15,FF15ChildCare,Directed,4780,,,1.0
fightfor15,FF15ChildCare,Directed,4815,,,12.0
MaryKayHenry,SEIU,Directed,4937,,,6.0
SEIU,FF15ChildCare,Directed,4938,,,4.0
figue32bj,32BJSEIU,Directed,5115,,,3.0
Demos_Org,fightfor15,Directed,5351,,,1.0
chifightfor15,JamieEldridgeMA,Directed,5355,,,1.0
GoodAirports,Detroit_15,Directed,5358,,,1.0
fightfor15,standup_kc,Directed,5393,,,4.0
CaliforniaLabor,NorCalFF15,Directed,5425,,,1.0
Teamsters,jwjnational,Directed,5440,,,2.0
Teamsters,FF15ChildCare,Directed,5474,,,1.0
FightFor15FL,RevDrBarber,Directed,5494,,,1.0
GoodAirports,Fightfor15LA,Directed,5520,,,4.0
CTUL_TC,NelpNews,Directed,5559,,,1.0
seiufl,SEIU,Directed,5587,,,2.0
chifightfor15,CaliforniaLabor,Directed,5623,,,1.0
chifightfor15,FastFoodForward,Directed,5626,,,1.0
chifightfor15,EconomicPolicy,Directed,5627,,,1.0
pragmactivist,People4Bernie,Directed,5692,,,1.0
sierraclub,fightfor15,Directed,5750,,,4.0
afarnitano,RaiseUpMA,Directed,5814,,,25.0
Tim_Canova,Tim_Canova,Directed,5886,,,1.0
ATLRaiseUp,fightfor15,Directed,6486,,,3.0
RaiseUpfor15,fightfor15,Directed,6489,,,6.0
15andaUnion,fightfor15,Directed,6492,,,8.0
smugjitsu,Show_Me15,Directed,6886,,,3.0
Marc_Perrone,CaliforniaLabor,Directed,7075,,,1.0
People4Bernie,Show_Me15,Directed,7146,,,7.0
JoshNoneYaBiz,ScottPresler,Directed,7460,,,1.0
NorCalFF15,CaliforniaLabor,Directed,7552,,,1.0
Fightfor15LA,CaliforniaLabor,Directed,7554,,,1.0
FastFoodForward,CaliforniaLabor,Directed,7556,,,1.0
FightFor15FL,NorCalFF15,Directed,7931,,,1.0
FightFor15FL,FastFoodForward,Directed,7942,,,2.0
fightfor15,Fightfor15LA,Directed,7964,,,7.0
Show_Me15,standup_kc,Directed,8415,,,1.0
Show_Me15,FastFoodForward,Directed,8416,,,3.0
OurPoliticalRev,GoodAirports,Directed,8572,,,1.0
NorCalFF15,GoodAirports,Directed,8579,,,5.0
FastFoodForward,GoodAirports,Directed,8580,,,4.0
Fightfor15LA,GoodAirports,Directed,8581,,,4.0
fightfor15mass,RaiseUpMA,Directed,8609,,,6.0
fightfor15mass,32BJSEIU,Directed,8611,,,7.0
fightfor15mass,SenWarren,Directed,8613,,,1.0
seiufl,FightFor15PA,Directed,8633,,,1.0
seiufl,FightFor15FL,Directed,8635,,,4.0
fightfor15mass,FightFor15PA,Directed,8799,,,1.0
15andaUnion,FightFor15PA,Directed,8801,,,1.0
fightfor15mass,FastFoodForward,Directed,9135,,,2.0
standup_kc,FastFoodForward,Directed,9146,,,2.0
fightfor15,SenSanders,Directed,9223,,,2.0
GoodAirports,greenhousenyt,Directed,9240,,,1.0
chifightfor15,standup_kc,Directed,9540,,,2.0
chifightfor15,Fightfor15LA,Directed,9541,,,2.0
NorCalFF15,standup_kc,Directed,9639,,,2.0
FastFoodForward,standup_kc,Directed,9641,,,2.0
Fightfor15LA,standup_kc,Directed,9642,,,2.0
Teamsters,EconomicPolicy,Directed,9695,,,2.0
Show_Me15,Fightfor15LA,Directed,9704,,,3.0
fightfor15,greenhousenyt,Directed,9760,,,1.0
Fightfor15LA,Fightfor15LA,Directed,9792,,,2.0
RobinHoodTax,RaiseUpfor15,Directed,10226,,,1.0
BenSpielberg,NelpNews,Directed,10263,,,1.0
CTUL_TC,jacobinmag,Directed,10617,,,1.0
Show_Me15,RaiseUpfor15,Directed,10628,,,4.0
GoodAirports,SenWarren,Directed,10812,,,1.0
GoodAirports,chifightfor15,Directed,10813,,,8.0
Teamsters,democracynow,Directed,10834,,,1.0
fightfor15,RaiseUpfor15,Directed,10988,,,30.0
fightfor15,jillian4council,Directed,10994,,,1.0
AFLCIO,fightfor15,Directed,11113,,,3.0
RaiseUpfor15,Fightfor15LA,Directed,11240,,,1.0
figue32bj,Show_Me15,Directed,11498,,,2.0
figue32bj,RevDrBarber,Directed,11501,,,1.0
RaiseUpfor15,DerrickQLewis,Directed,11702,,,1.0
RaiseUpfor15,fightfor15mass,Directed,11733,,,1.0
RaiseUpfor15,jillian4council,Directed,11766,,,1.0
jillian4council,RevDrBarber,Directed,13863,,,1.0
Tim_Canova,Show_Me15,Directed,14021,,,1.0
Marc_Perrone,MNAFLCIO,Directed,14355,,,1.0
DemSocialists,RaiseUpfor15,Directed,14582,,,2.0
DemSocialists,acbowen,Directed,14630,,,1.0
DemSocialists,Show_Me15,Directed,14711,,,3.0
People4Bernie,standup_kc,Directed,15280,,,1.0
fightfor15,RevDrBarber,Directed,15583,,,1.0
scapelliti,scapelliti,Directed,15892,,,1.0
LauraKMM,PLANevada,Directed,15951,,,4.0
standup_kc,Show_Me15,Directed,16402,,,3.0
standup_kc,RevDrBarber,Directed,16590,,,1.0
RaiseUpfor15,RevDrBarber,Directed,16868,,,1.0
standup_kc,RaiseUpfor15,Directed,16954,,,1.0
Show_Me15,FightFor15PA,Directed,17014,,,1.0
AFLCIO,SenWarren,Directed,17670,,,1.0
AFLCIO,RaiseUpfor15,Directed,17675,,,2.0
zachhaller,RoseAnnDeMoro,Directed,18024,,,1.0
GoodAirports,RaiseUpfor15,Directed,18033,,,3.0
NorCalFF15,RaiseUpfor15,Directed,18324,,,9.0
Fightfor15LA,RaiseUpfor15,Directed,18327,,,9.0
FastFoodForward,RaiseUpfor15,Directed,18328,,,8.0
FightFor15PA,RaiseUpfor15,Directed,18412,,,2.0
FightFor15PA,fightfor15mass,Directed,18428,,,3.0
FightFor15PA,Show_Me15,Directed,18496,,,1.0
FightFor15PA,standup_kc,Directed,18500,,,1.0
NorCalFF15,LauraKMM,Directed,18503,,,1.0
Fightfor15LA,LauraKMM,Directed,18505,,,1.0
FastFoodForward,LauraKMM,Directed,18506,,,1.0
15andaUnion,RaiseUpfor15,Directed,18513,,,1.0
fightfor15mass,RaiseUpfor15,Directed,18515,,,2.0
FightFor15PA,PLANevada,Directed,18533,,,1.0
15andaUnion,PLANevada,Directed,18534,,,1.0
fightfor15,LauraKMM,Directed,18599,,,1.0
ATLRaiseUp,RaiseUpfor15,Directed,18768,,,6.0
NorCalFF15,PLANevada,Directed,18909,,,1.0
Fightfor15LA,PLANevada,Directed,18911,,,1.0
FastFoodForward,PLANevada,Directed,18912,,,1.0
FightFor15FL,acbowen,Directed,19092,,,1.0
fightfor15,NCFaculty,Directed,19429,,,2.0
FF15ChildCare,Show_Me15,Directed,19596,,,2.0
fightfor15,acbowen,Directed,19685,,,1.0
GatorsEite23,GatorsEite23,Directed,19885,,,2.0
GoodAirports,ryanstopera,Directed,19889,,,1.0
People4Bernie,RoseAnnDeMoro,Directed,19994,,,1.0
Detroit_15,MarkRuffalo,Directed,20087,,,1.0
fightfor15,KCTomDempsey,Directed,20181,,,3.0
CTUL_TC,ryanstopera,Directed,20397,,,1.0
mnnoc,ryanstopera,Directed,20622,,,1.0
RaiseUpfor15,KCTomDempsey,Directed,20633,,,1.0
chifightfor15,RaiseUpfor15,Directed,20813,,,5.0
chifightfor15,ATLRaiseUp,Directed,20826,,,1.0
chifightfor15,NCFaculty,Directed,20841,,,1.0
figue32bj,MoveOn,Directed,20865,,,2.0
MaryKayHenry,DerrickQLewis,Directed,21082,,,1.0
SEIU,DerrickQLewis,Directed,21105,,,1.0
RaiseUpfor15,standup_kc,Directed,21237,,,1.0
figue32bj,RaiseUpfor15,Directed,21308,,,1.0
fightfor15,The_Gambit,Directed,21587,,,1.0
fightfor15texas,TexasObserver,Directed,21813,,,1.0
GoodAirports,MarkRuffalo,Directed,21983,,,1.0
LeahRBoss,somethingldsay,Directed,21991,,,1.0
FightFor15FL,TexasObserver,Directed,22135,,,1.0
fightfor15,TexasObserver,Directed,22192,,,1.0
People4Bernie,People4Bernie,Directed,22468,,,2.0
GoodAirports,NCFaculty,Directed,22476,,,1.0
fightfor15,CTUL_TC,Directed,22860,,,3.0
fightfor15,mnnoc,Directed,23340,,,2.0
SEIU,RaiseUpfor15,Directed,23381,,,4.0
fightfor15,LUCHA_AZ,Directed,23672,,,3.0
fightfor15,UR_Ninja,Directed,23958,,,4.0
RaiseUpfor15,RaiseUpfor15,Directed,24127,,,3.0
fightfor15,UAW,Directed,24149,,,2.0
32BJSEIU,fightfor15,Directed,24164,,,2.0
fightfor15,DerrickQLewis,Directed,24190,,,1.0
RaiseUpfor15,ATLRaiseUp,Directed,24203,,,4.0
figue32bj,greenhousenyt,Directed,24429,,,1.0
CaliforniaLabor,EconomicPolicy,Directed,24497,,,1.0
standup_kc,KCTomDempsey,Directed,24664,,,1.0
LawlessPirate,LawlessPirate,Directed,24732,,,1.0
fightfor15mass,MarkRuffalo,Directed,25046,,,1.0
NorCalFF15,FightFor15FL,Directed,25071,,,2.0
Fightfor15LA,FightFor15FL,Directed,25074,,,3.0
FastFoodForward,FightFor15FL,Directed,25076,,,2.0
FF15ChildCare,sierraclub,Directed,25106,,,1.0
OccupyWallStNYC,Show_Me15,Directed,25263,,,2.0
fightfor15,MaryKayHenry,Directed,25308,,,2.0
NorCalFF15,FightFor15PA,Directed,25617,,,2.0
Fightfor15LA,FightFor15PA,Directed,25620,,,2.0
FastFoodForward,FightFor15PA,Directed,25622,,,2.0
fightfor15,jacobinmag,Directed,25869,,,1.0
People4Bernie,FightFor15PA,Directed,25998,,,4.0
scapelliti,GatorsEite23,Directed,26100,,,2.0
seiufl,GatorsEite23,Directed,26332,,,2.0
aequitas1500,fightfor15,Directed,26399,,,1.0
People4Bernie,NorCalFF15,Directed,26458,,,2.0
jwjnational,fightfor15,Directed,26495,,,2.0
People4Bernie,PghUNITED,Directed,26594,,,1.0
FF15ChildCare,FightFor15PA,Directed,26718,,,1.0
fightfor15,jasiri_x,Directed,26731,,,1.0
FF15ChildCare,SenWarren,Directed,27110,,,1.0
fightfor15,TomSteyer,Directed,27201,,,1.0
fightfor15,sierraclub,Directed,27264,,,2.0
fightfor15,FightFor15PA,Directed,27596,,,5.0
FF15ChildCare,seiufl,Directed,28491,,,1.0
fightfor15,1alyssakang,Directed,28533,,,1.0
fightfor15,EconomicPolicy,Directed,28538,,,2.0
aMustReid,chifightfor15,Directed,28579,,,1.0
aMustReid,GoodAirports,Directed,28604,,,1.0
Show_Me15,CaliforniaLabor,Directed,28633,,,1.0
jasiri_x,PghUNITED,Directed,28737,,,1.0
32BJSEIU,AFSCME,Directed,28887,,,1.0
fightfor15,CaliforniaLabor,Directed,29097,,,1.0
OurPoliticalRev,CaliforniaLabor,Directed,29166,,,1.0
RaiseUpMA,SenWarren,Directed,29312,,,1.0
smugjitsu,TheNewThinker,Directed,29318,,,1.0
afarnitano,SenWarren,Directed,29377,,,1.0
afarnitano,fightfor15,Directed,29394,,,3.0
GoodAirports,32BJSEIU,Directed,29514,,,14.0
People4Bernie,CaliforniaLabor,Directed,29595,,,1.0
SEIULocal1,chifightfor15,Directed,29596,,,7.0
aequitas1500,CaliforniaLabor,Directed,29617,,,1.0
afarnitano,32BJSEIU,Directed,29632,,,5.0
GoodAirports,NorCalFF15,Directed,29655,,,1.0
OurRevolution2,chifightfor15,Directed,29772,,,1.0
FastFoodForward,NBCNews,Directed,29803,,,1.0
MaryKayHenry,32BJSEIU,Directed,29875,,,3.0
MaryKayHenry,chifightfor15,Directed,29879,,,4.0
fightfor15,NBCNews,Directed,29926,,,1.0
afarnitano,fightfor15mass,Directed,30151,,,10.0
fightfor15,AFSCME,Directed,30187,,,3.0
NorCalFF15,masseydaniel,Directed,30262,,,1.0
DerenicByrd,zachhaller,Directed,30288,,,1.0
DerenicByrd,SenWarren,Directed,30302,,,1.0
RaiseUpMA,32BJSEIU,Directed,30350,,,2.0
Demos_Org,Fightfor15LA,Directed,30943,,,1.0
SEIU,chifightfor15,Directed,30978,,,5.0
GoodAirports,fightfor15texas,Directed,31101,,,1.0
fightfor15,SenWarren,Directed,31482,,,1.0
CWAUnion,SenSherrodBrown,Directed,31752,,,1.0
SEIU,32BJSEIU,Directed,31958,,,9.0
FastFoodForward,FastFoodForward,Directed,32146,,,1.0
15andaUnion,fightfor15mass,Directed,32543,,,2.0
AFLCIO,chifightfor15,Directed,32711,,,3.0
fightfor15,democracynow,Directed,32945,,,1.0
fightfor15texas,fightfor15mass,Directed,32956,,,1.0
jwjnational,AFSCME,Directed,32969,,,1.0
OurPoliticalRev,NorCalFF15,Directed,33137,,,1.0
RaiseUpMA,fightfor15mass,Directed,33341,,,6.0
fightfor15,fightfor15mass,Directed,33703,,,7.0
CaliforniaLabor,Fightfor15LA,Directed,33731,,,2.0
NorCalFF15,chifightfor15,Directed,33936,,,2.0
Fightfor15LA,chifightfor15,Directed,33937,,,2.0
OurPoliticalRev,Fightfor15LA,Directed,34310,,,1.0
figue32bj,chifightfor15,Directed,34354,,,1.0
figue32bj,GoodAirports,Directed,34391,,,1.0
fightfor15,32BJSEIU,Directed,34639,,,5.0
